Months,(All),,,,,,,
,,,,,,,,
Row Labels,Total Cured Cases,Total Confirmed Cases,Total Death Cases,,Row Labels,Tota,Sum of Confirmed,Sum of Deaths
Andaman and Nicobar Islands,430671,483761,6420,,Andaman and Nicobar Islands,430671,483761,6420
Andhra Pradesh,76025563,84815303,715536,,Andhra Pradesh,76025563,84815303,715536
Arunachal Pradesh,1084070,1314087,3268,,Arunachal Pradesh,1084070,1314087,3268
Assam,18920926,21703581,85655,,Assam,18920926,21703581,85655
Bihar,21690764,23891385,121993,,Bihar,21690764,23891385,121993
Cases being reassigned to states,0,345565,0,,Cases being reassigned to states,0,345565,0
Chandigarh,1181720,1387878,20455,,Chandigarh,1181720,1387878,20455
Chandigarh***,14381,15636,246,,Chandigarh***,14381,15636,246
Chhattisgarh,13106333,16051609,170085,,Chhattisgarh,13106333,16051609,170085
Dadar Nagar Haveli,14,186,0,,Dadar Nagar Haveli,14,186,0
Dadra and Nagar Haveli and Daman and Diu,352515,384618,296,,Dadra and Nagar Haveli and Daman and Diu,352515,384618,296
Daman & Diu,0,2,0,,Daman & Diu,0,2,0
Delhi,40752525,46445978,931396,,Delhi,40752525,46445978,931396
Goa,3715236,4248741,55207,,Goa,3715236,4248741,55207
Gujarat,17575841,20788858,574906,,Gujarat,17575841,20788858,574906
Haryana,15801049,18060806,194907,,Haryana,15801049,18060806,194907
Himachal Pradesh,1822510,2354421,32216,,Himachal Pradesh,1822510,2354421,32216
Jammu and Kashmir,8215873,9870504,158081,,Jammu and Kashmir,8215873,9870504,158081
Jharkhand,8663649,9912089,87762,,Jharkhand,8663649,9912089,87762
Karnataka,67314778,79354749,1144931,,Karnataka,67314778,79354749,1144931
Kerala,28915377,36407056,132008,,Kerala,28915377,36407056,132008
Ladakh,547881,680539,7750,,Ladakh,547881,680539,7750
Madhya Pradesh,15077636,17544637,338597,,Madhya Pradesh,15077636,17544637,338597
Maharashtra,146212339,179450627,5068405,,Maharashtra,146212339,179450627,5068405
Maharashtra***,1581373,1723135,45325,,Maharashtra***,1581373,1723135,45325
Manipur,1406108,1788562,14435,,Manipur,1406108,1788562,14435
Meghalaya,663242,849874,7403,,Meghalaya,663242,849874,7403
Mizoram,227248,284581,159,,Mizoram,227248,284581,159
Nagaland,730014,918755,3528,,Nagaland,730014,918755,3528
Odisha,24565654,27395482,127833,,Odisha,24565654,27395482,127833
Puducherry,2835048,3334604,57565,,Puducherry,2835048,3334604,57565
Punjab,11408678,13339280,403512,,Punjab,11408678,13339280,403512
Punjab***,130406,140605,4428,,Punjab***,130406,140605,4428
Rajasthan,17963398,20941444,230703,,Rajasthan,17963398,20941444,230703
Sikkim,334313,399767,5998,,Sikkim,334313,399767,5998
Tamil Nadu,74243503,82789540,1291048,,Tamil Nadu,74243503,82789540,1291048
Telangana,681436,1077182,13342,,Telangana,681436,1077182,13342
Telangana***,40334,52466,455,,Telangana***,40334,52466,455
Telengana,21762057,24886079,149324,,Telengana,21762057,24886079,149324
Telengana***,42909,57142,480,,Telengana***,42909,57142,480
Tripura,2605424,3085356,32265,,Tripura,2605424,3085356,32265
Unassigned,0,161,0,,Unassigned,0,161,0
Uttar Pradesh,43431970,50283822,756398,,Uttar Pradesh,43431970,50283822,756398
Uttarakhand,5135066,6073034,90610,,Uttarakhand,5135066,6073034,90610
West Bengal,33366214,38349942,736550,,West Bengal,33366214,38349942,736550
Grand Total,730576046,853283429,13821481,,,,,
